Treatment	Type	Cytokine	E10_1_norm	E10_2_norm	E12_1_norm	E12_2_norm	E21_1_norm	E21_2_norm	AVG	SD	SEM
L	Single	IFNg	10752.476	6385.752	5228.898644	7379.793781	1066.496958	2547.951939	5560.22822	3473.58471	1418.08502
P	Single	IFNg	4223.412	3394.479306	3398.967192	1770.562372	3838.956377	3590.82192	3369.533195	843.4017071	344.3173051
S	Single	IFNg	2907.992	2017.872451	3083.460455	2437.991975	0	1046.199901	1915.58613	1188.063369	485.0248394
cG	Single	IFNg	1514.484	0	3314.831928	875.9268025	0	0	950.8737884	1313.320562	536.1608743
Cp	Single	IFNg	979.904	925.9025638	1747.821419	0	0	677.7072483	721.8892052	664.0677807	271.1045362
Z	Single	IFNg	0	0	1390.248053	627.4163572	0	93.70556243	351.8949955	564.3121725	230.3794797
H	Single	IFNg	169.028	0	0	0	0	0	28.17133333	69.00539204	28.17133333
PL	Pair	IFNg	15966.116	13486.14268	13200.66824	19386.38672	13778.98945	16174.92856	15332.20527	2362.722549	964.5774415
LCp	Pair	IFNg	13311.244	13175.63031	16282.10547	15630.33311	14423.75239	16605.9879	14904.8422	1488.50692	607.6804055
LS	Pair	IFNg	14902.964	13108.3535	12254.15204	16624.3715	12231.57131	14867.85292	13998.21088	1756.483867	717.081536
PS	Pair	IFNg	12332.184	9309.74789	12012.26541	13826.85673	8986.28018	10223.55206	11115.14771	1909.232912	779.4410724
PcG	Pair	IFNg	9689.328	11033.09193	11539.00731	13968.86512	8631.665642	10668.509	10921.7445	1816.909216	741.7500813
cGCp	Pair	IFNg	9022.604	8999.235517	13737.02728	9758.39279	6697.386039	9333.624418	9591.378341	2294.779504	936.8398097
SCp	Pair	IFNg	11725.528	9340.799878	9603.906276	8714.649597	7739.75327	10362.61057	9581.207931	1371.779027	560.0264428
PH	Pair	IFNg	8421.956	6804.942577	9835.27775	11185.54881	8857.329439	9159.808168	9044.14379	1460.200394	596.1243146
LcG	Pair	IFNg	7226.664	8171.20002	8278.784399	12989.02519	8749.87357	8311.600828	8954.524668	2039.026851	832.4292263
PCp	Pair	IFNg	18164.492	4351.891829	2767.955724	4617.781949	3129.718057	1929.164987	5826.834091	6126.631385	2501.186789
LH	Pair	IFNg	1406.368	10013.57543	7185.03199	5626.022197	3930.298026	1901.356038	5010.441947	3285.166683	1341.163682
PZ	Pair	IFNg	4007.18	3751.56966	1411.282371	6932.474302	6665.148354	6052.030854	4803.280923	2135.645973	871.8738174
LZ	Pair	IFNg	4019.192	3497.984681	4829.25865	5036.697717	2850.321704	7018.436546	4541.981883	1461.851769	596.7984858
HS	Pair	IFNg	6049.388	5029.847722	2073.843309	1607.256283	0	0	2460.055886	2548.227319	1040.309447
ZCp	Pair	IFNg	1940.944	941.4285578	2179.01289	2956.313954	1453.34918	2763.474732	2039.087219	767.2283915	313.2196792
ScG	Pair	IFNg	4157.34	3239.223119	0	3148.020366	566.8082143	24.17631031	1855.928002	1862.316733	760.2876227
HCp	Pair	IFNg	2757.828	408.37944	3546.203401	833.3246246	271.2883955	1797.06904	1602.348817	1337.183733	545.9029731
ZS	Pair	IFNg	1970.976	1427.899694	2357.79857	1216.740837	0	0	1162.23585	985.7548642	402.4327381
ZcG	Pair	IFNg	1142.08	159.9710434	0	833.3246246	0	323.1397105	409.7525631	473.5828726	193.3393981
HcG	Pair	IFNg	0	0	622.5195393	705.5214796	0	0	221.3401698	343.9018204	140.3973303
HZ	Pair	IFNg	187.048	418.7326053	0	0	0	0	100.9634342	172.7207334	70.51294414
PLCp	Triplet	IFNg	16188.356	14955.9055	21530.01119	16887.0838	13349.15672	18239.83589	16858.39152	2832.538496	1156.378999
LSCp	Triplet	IFNg	14050.044	15452.72605	20625.56363	17597.1122	13881.08315	17885.25459	16581.96394	2609.994052	1065.52561
LHS	Triplet	IFNg	13131.048	14117.52059	20394.19215	15616.13126	11656.66438	13289.62283	14700.8632	3076.201046	1255.853818
LHCp	Triplet	IFNg	9737.38	12849.59194	24064.57222	10596.22433	11973.66983	14548.02937	13961.57795	5230.146525	2135.198378
LcGCp	Triplet	IFNg	9376.988	12989.32589	13495.14066	11341.75566	12328.28436	16300.07571	12638.59505	2309.947564	943.0321442
PLZ	Triplet	IFNg	13305.236	11943.93023	15104.21779	12122.78655	9759.99387	12608.26919	12474.07227	1754.832256	716.4072685
ScGCp	Triplet	IFNg	2787.86	12285.49459	22087.40456	14423.28383	9034.64133	12086.83419	12117.58642	6344.934965	2590.308853
PLS	Triplet	IFNg	10368.06	9672.011073	18175.13787	12499.10353	7664.525841	7630.260941	11001.51654	3959.124472	1616.305798
LScG	Triplet	IFNg	10938.676	10117.08081	8688.941553	10475.52041	11914.56586	9632.587818	10294.56208	1106.32434	451.6550204
PSCp	Triplet	IFNg	10277.964	10401.71778	12359.32162	10716.93163	9571.939166	6490.038998	9969.652197	1939.926132	791.9715269
LHcG	Triplet	IFNg	9340.948	8771.525943	10518.87301	11654.16937	7540.946506	10696.33171	9753.79909	1491.116104	608.7456002
LZCp	Triplet	IFNg	6385.752	7001.603917	9067.54723	11682.5697	7293.787838	16119.31066	9591.76189	3728.894573	1522.314835
PHS	Triplet	IFNg	12073.904	7425.971076	10161.29964	7812.911405	8443.610938	11238.62685	9526.053986	1915.456669	781.9819104
PcGCp	Triplet	IFNg	10097.768	8481.712393	7553.120509	9169.06831	11087.11962	8026.548782	9069.222935	1331.967391	543.7734105
PLH	Triplet	IFNg	10368.06	6535.831604	9677.524381	8934.756331	7626.916749	8867.807325	8668.482732	1389.274659	567.1690047
PZS	Triplet	IFNg	8986.564	7353.517689	10560.93963	6549.05809	8626.294236	8367.218726	8407.265396	1384.687372	565.2962524
PHZ	Triplet	IFNg	6391.76	7358.690518	12464.48919	8664.944797	7046.62917	6775.091044	8116.93412	2267.104119	925.541381
HSCp	Triplet	IFNg	4253.444	7586.400092	8268.267241	8679.146653	9050.75555	10362.61057	8033.43735	2069.795246	844.9903709
LZS	Triplet	IFNg	9190.788	8124.622038	6385.752	3517.234723	7492.594601	9855.073169	7427.677422	2274.551637	928.5818174
PScG	Triplet	IFNg	11713.516	10054.97683	6185.932003	4042.655936	6385.752	5328.956904	7285.298279	2954.319622	1206.095935
HcGCp	Triplet	IFNg	3917.084	5723.325855	7311.233882	9587.984078	8577.933085	6385.752	6917.218817	2037.393096	831.7622484
PHCp	Triplet	IFNg	5556.856	5242.031302	5975.594847	6385.752	2694.504684	6469.178847	5387.319613	1401.032327	571.9690523
PZCp	Triplet	IFNg	9773.416	3787.794477	4881.842437	2501.895242	4360.139993	5530.582103	5139.278375	2493.350298	1017.905997
PLcG	Triplet	IFNg	4517.732	3461.75611	5912.4939	4383.469971	6713.509504	5231.632463	5036.765658	1165.606213	475.8567438
LHZ	Triplet	IFNg	8698.252	3497.984681	4072.045289	5704.123931	2613.915094	3980.174724	4761.08262	2176.279578	888.4624174
LZcG	Triplet	IFNg	3232.34	3032.212368	5607.504322	3574.038756	5295.032864	6038.119499	4463.207968	1329.292999	542.6815943
ZSCp	Triplet	IFNg	2367.404	3156.42032	7079.862409	3929.051258	6004.271184	3952.365776	4414.895825	1780.680953	726.959955
PHcG	Triplet	IFNg	5328.608	3741.216495	3630.33666	2643.900242	3914.174561	6622.134945	4313.395151	1421.371465	580.2724709
PZcG	Triplet	IFNg	8193.708	6473.731382	4093.077601	2168.18044	2807.341205	2123.841389	4309.980003	2507.45451	1023.664017
ZcGCp	Triplet	IFNg	853.768	2613.021791	7216.58146	7670.906404	2597.791628	3987.123522	4156.532134	2737.289708	1117.493844
HScG	Triplet	IFNg	1496.464	2012.695868	2242.113836	3595.339845	1012.764401	3062.438132	2236.969347	961.6569144	392.5947913
HZCp	Triplet	IFNg	3004.096	4408.819223	0	1372.947693	942.9176236	2235.077184	1993.976287	1573.294641	642.2948477
HZS	Triplet	IFNg	643.54	1997.169874	2441.933834	1174.138659	744.1108605	4112.270671	1852.193983	1313.408498	536.1967741
ZScG	Triplet	IFNg	853.768	2079.976427	2841.573828	3091.216333	1302.903568	0	1694.906359	1195.549604	488.081082
HZcG	Triplet	IFNg	847.76	2007.52304	2200.045202	1096.036925	50.99600565	0	1033.726862	936.0977347	382.1602999
L	Single	IL17	3.378	180.22	64.96055628	239.2833549	204.6465538	470.4386343	193.8211832	162.3329118	66.27213374
P	Single	IL17	231.34	91.81270922	340.8816789	278.6589249	456.2388048	553.6476805	325.4299664	164.3475023	67.09458687
S	Single	IL17	0	0	370.5699317	205.0899252	0	70.6265768	107.7144056	151.4976607	61.84866099
cG	Single	IL17	0	0	129.575999	254.8270582	0	0	64.0671762	106.8636053	43.62688418
Cp	Single	IL17	0	0	0	0	0	300.9748003	50.16246672	122.8724477	50.16246672
Z	Single	IL17	69.694	0	0	0	281.5885271	0	58.54708785	112.767711	46.03722524
H	Single	IL17	1.996	0	0	0	0	0	0.332666667	0.814863588	0.332666667
PL	Pair	IL17	252.062	481.1188317	225.6222352	267.2620208	656.5357106	655.1235656	422.9540607	202.1040147	82.50861851
LCp	Pair	IL17	0	87.15900235	300.715552	180.22	313.3438827	224.8693133	184.3846251	122.6949391	50.08999915
LS	Pair	IL17	264.498	149.2011274	171.4874953	207.1633248	226.628781	172.1024619	198.5135317	42.61197175	17.39626462
PS	Pair	IL17	102.852	197.2821319	334.2170268	295.2379692	15.34076162	108.1723309	175.5170367	122.8531351	50.15458237
PcG	Pair	IL17	235.484	246.913642	456.1411226	0	269.3752502	274.5923258	247.0843901	145.7007758	59.48209266
cGCp	Pair	IL17	211.998	149.2011274	410.7360586	268.2973619	60.52946838	119.3356104	203.3496045	124.6516324	50.88881585
SCp	Pair	IL17	18.576	0	54.4826822	304.5641912	0	145.7180849	87.22349305	119.7154216	48.8736162
PH	Pair	IL17	0	236.0579126	257.0586862	271.4061025	200.9821529	288.7975419	209.0503994	106.81686	43.60780049
LcG	Pair	IL17	0	6.506429708	700.6257942	0	883.7014078	149.7778052	290.1019061	397.3224661	162.2062176
PCp	Pair	IL17	68.312	166.2610693	147.0381795	0	56.86506747	144.7041061	97.19673707	65.45101801	26.72026621
LH	Pair	IL17	0	39.07799789	152.2771166	0	157.0135204	24.9632846	62.22198657	73.16060091	29.86769025
PZ	Pair	IL17	1882.326	2013.522092	1968.465531	1561.731845	2098.920372	1105.670712	1771.772759	375.2832234	153.2087344
LZ	Pair	IL17	1979.038	322.9146977	1474.254422	0	1416.199028	1614.060311	1134.411077	785.3369775	320.6124785
HS	Pair	IL17	0	18.91485473	126.0824314	271.4061025	0	36.12656413	75.42165879	106.8554095	43.62353824
ZCp	Pair	IL17	180.22	259.322067	229.1158028	264.1532802	343.877075	327.3591773	267.3412337	60.96827301	24.89019323
ScG	Pair	IL17	61.404	270.1799864	237.8483075	220.6336285	0	66.56875893	142.7724469	113.2662896	46.24076909
HCp	Pair	IL17	0	0	67.76106798	250.6829765	0	0	53.07400741	100.5310056	41.04161118
ZS	Pair	IL17	0	0	190.6978741	254.8270582	0	93.96711473	89.91534117	111.0168599	45.32244328
ZcG	Pair	IL17	83.51	108.8748411	188.9496759	238.2480139	0	248.2079489	144.6317466	97.35387034	39.74455114
HcG	Pair	IL17	0	0	197.6821805	253.7917171	0	0	75.24564961	117.9127079	48.13766144
HZ	Pair	IL17	0	0	531.2316106	308.7109903	0	305.0345206	190.8295203	224.5262228	91.66244662
PLCp	Triplet	IL17	281.076	271.730492	87.66167386	92.3002491	665.0845866	351.7117917	291.5941322	212.0947653	86.58732533
LSCp	Triplet	IL17	199.562	284.138917	525.9926736	0	317.0082836	253.281648	263.330587	170.7724014	69.71754092
LHS	Triplet	IL17	191.274	205.03685	372.3153011	82.97402714	163.1201588	344.6101348	226.5550787	110.9327137	45.28809072
LHCp	Triplet	IL17	54.496	29.77277411	877.007113	0	111.8248136	71.64245807	190.7905265	338.2983858	138.1097377
LcGCp	Triplet	IL17	167.786	57.69063541	358.3438594	103.6971532	154.5712828	175.1463009	169.5392053	102.7141935	41.93289392
PLZ	Triplet	IL17	1083.774	637.7702701	964.3236733	235.1392732	439.1410528	380.1260287	623.3790497	338.3074488	138.1134376
ScGCp	Triplet	IL17	0	172.4652819	0	43.59845718	9.234123157	97.01095373	53.71813599	69.03283898	28.1825385
PLS	Triplet	IL17	231.34	262.4252682	522.5019347	309.7463314	193.6533511	290.8274021	301.7490479	115.8477874	47.29466118
LScG	Triplet	IL17	833.708	735.4849747	2.093311777	574.1305932	768.8974404	289.8134232	534.0212905	325.502737	132.8859359
PSCp	Triplet	IL17	116.668	125.934783	491.0654837	0	61.75163174	57.43533953	142.1425397	176.9188367	72.22681262
LHcG	Triplet	IL17	254.826	336.8736284	141.7992425	0	326.7772338	333.4468553	232.28716	136.2008624	55.60376923
LZCp	Triplet	IL17	359.826	516.7914112	54.4826822	0	73.96490865	145.7180849	191.7971812	202.7333674	82.76555068
PHS	Triplet	IL17	228.576	242.2621251	0	15.61979131	329.2215606	173.1164407	164.7993196	131.5941841	53.72310069
PcGCp	Triplet	IL17	131.866	91.81270922	623.7871079	147.2168049	279.1462895	161.9550636	239.2973292	198.5820648	81.07078846
PLH	Triplet	IL17	35.154	115.0790536	180.22	245.5008362	1.905321339	74.68629707	108.7575847	91.47819535	37.34581687
PZS	Triplet	IL17	274.168	473.3619236	389.7803105	136.8552419	185.1044751	216.7517752	279.3369544	128.8160276	52.58892307
PHZ	Triplet	IL17	430.286	386.5051385	24.79442936	313.0099656	0	144.7041061	216.5499399	185.8484789	75.87232381
HSCp	Triplet	IL17	55.878	0	0	0	15.34076162	93.96711473	27.53097939	39.08907659	15.9580487
LZS	Triplet	IL17	518.708	350.832559	92.9034397	430.098617	429.3700134	287.7835631	351.616032	149.0854298	60.86387185
PScG	Triplet	IL17	375.024	408.2209772	456.1411226	116.1321158	180.22	289.8134232	304.2586065	134.0671696	54.73269281
HcGCp	Triplet	IL17	0	0	0	87.11810887	312.1217194	249.2238301	108.0772764	139.3110649	56.8735041
PHCp	Triplet	IL17	61.404	107.3221455	360.0920576	0	0	37.140543	94.32645769	136.3446518	55.66247099
PZCp	Triplet	IL17	1593.576	1228.707824	429.9436086	270.525655	1314.830501	752.537828	931.6869028	528.0326773	215.5684378
PLcG	Triplet	IL17	228.576	344.6283465	368.8217335	283.8410651	216.8598308	168.0427416	268.4616196	78.03538738	31.85781349
LHZ	Triplet	IL17	387.458	583.4850532	54.4826822	293.3221806	978.9653856	603.370693	483.5139991	316.0061609	129.008975
LZcG	Triplet	IL17	1107.26	1217.849905	101.6331156	47.7425389	701.7244174	445.0701386	603.5466859	495.3149932	202.2114992
ZSCp	Triplet	IL17	11.668	167.813765	0	0	64.19386928	180.22	70.64927237	83.60596279	34.13199138
PHcG	Triplet	IL17	264.498	240.7094295	1070.850612	54.99536128	171.6690348	197.4709575	333.3655659	368.5960332	150.4787004
PZcG	Triplet	IL17	1053.378	347.7315478	85.91630445	110.9499756	198.5399154	249.2238301	340.9565955	361.72812	147.6748866
ZcGCp	Triplet	IL17	192.654	180.22	0	63.28624216	0.685247148	0	72.80758155	91.42731161	37.32504367
HScG	Triplet	IL17	0	0	0	0	50.75842901	68.59671667	19.89252428	31.32938723	12.79016878
HZCp	Triplet	IL17	394.366	197.2821319	0	0	0	400.4208253	165.3448262	195.3193024	79.73877132
HZS	Triplet	IL17	1465.09	56.14012978	178.4718018	316.1187063	236.3998203	39.17040313	381.8984769	541.0663838	220.8894262
ZScG	Triplet	IL17	246.536	274.8336933	156.8229977	232.1854261	284.0307646	218.7797329	235.5314358	45.83620039	18.71255045
HZcG	Triplet	IL17	405.418	442.343051	9.077618233	419.737054	404.9434596	717.0219341	399.7568528	226.0792508	92.29646767
L	Single	Viability	NA	NA	NA	NA	NA	NA	93.52612534	4.926819903	1.161262588
P	Single	Viability	NA	NA	NA	NA	NA	NA	89.9921871	5.719858989	1.348183693
S	Single	Viability	NA	NA	NA	NA	NA	NA	86.24401224	4.619912344	1.088923782
cG	Single	Viability	NA	NA	NA	NA	NA	NA	86.37445595	7.532383246	1.775399757
Cp	Single	Viability	NA	NA	NA	NA	NA	NA	87.52623398	8.664692282	2.31573642
Z	Single	Viability	NA	NA	NA	NA	NA	NA	82.40310127	6.311282937	1.487583654
H	Single	Viability	NA	NA	NA	NA	NA	NA	83.36569709	6.692274141	1.577384142
PL	Pair	Viability	NA	NA	NA	NA	NA	NA	88.54152	5.674703329	1.337540402
LCp	Pair	Viability	NA	NA	NA	NA	NA	NA	90.21325872	6.971652502	1.863252506
LS	Pair	Viability	NA	NA	NA	NA	NA	NA	90.54291551	2.346948774	0.553181131
PS	Pair	Viability	NA	NA	NA	NA	NA	NA	75.64494646	10.61489765	2.501955369
PcG	Pair	Viability	NA	NA	NA	NA	NA	NA	82.87839357	6.375218385	1.502653384
cGCp	Pair	Viability	NA	NA	NA	NA	NA	NA	89.74499183	6.80918304	1.819830716
SCp	Pair	Viability	NA	NA	NA	NA	NA	NA	87.91875031	5.02571234	1.343178121
PH	Pair	Viability	NA	NA	NA	NA	NA	NA	76.10669267	10.62664283	2.504723735
LcG	Pair	Viability	NA	NA	NA	NA	NA	NA	91.68618422	3.227186305	0.760655107
PCp	Pair	Viability	NA	NA	NA	NA	NA	NA	85.75786169	9.645366334	2.577832585
LH	Pair	Viability	NA	NA	NA	NA	NA	NA	91.84699873	4.169378732	0.982731991
PZ	Pair	Viability	NA	NA	NA	NA	NA	NA	69.65480779	8.34074069	1.965931434
LZ	Pair	Viability	NA	NA	NA	NA	NA	NA	83.53793571	5.083061602	1.198089109
HS	Pair	Viability	NA	NA	NA	NA	NA	NA	87.73330465	6.447806685	1.51976261
ZCp	Pair	Viability	NA	NA	NA	NA	NA	NA	84.11959168	6.056670354	1.618713241
ScG	Pair	Viability	NA	NA	NA	NA	NA	NA	87.17547654	6.026916257	1.420557785
HCp	Pair	Viability	NA	NA	NA	NA	NA	NA	82.40833901	9.899547856	2.645765454
