Sample_ID	Experiment	Treatment	LN	Mouse_ID	LN_Mouse_ID	OVA_conc	Group	LN_cell_count_10e6	Total_cells	Incubation_days	Injection_outliers	IFNg_EL	IL17A_EL	IL5_LP	TNFa_LP	IL2_LP	IL6_LP	IL4_LP	IL10_LP	IL9_LP	IL17F_LP	IL22_LP	IL13_LP
E28_M1_L_1_Ova	28	Ova	L	1	L_1	1	E28_Ova_OVA_1	7200000	500000	2	0	0	9.999923706	7.86	5.66	414.16	0	3.04	65.46	0	0	0	115.5
E28_M2_L_1_LScG	28	LScG	L	2	L_2	1	E28_LScG_OVA_1	12096000	500000	2	0	108500	8209.999954	100.97	65.03	1217.14	53.21	13.32	682	105.11	5.71	437.99	584.13
E28_M3_L_1_ZScG	28	ZScG	L	3	L_3	1	E28_ZScG_OVA_1	7968000	500000	2	0	94100.0008	6290.000116	43.24	85.33	1771.4	35.37	6.3	695.68	175.34	51.48	1634.38	578.29
E28_M4_L_1_HZcG	28	HZcG	L	4	L_4	1	E28_HZcG_OVA_1	6048000	500000	2	0	94500.0046	9120.00001	79.45	64.82	1400.66	19.82	18.83	761.54	117.92	47.17	874.02	534.83
E28_M5_L_1_PScG	28	PScG	L	5	L_5	1	E28_PScG_OVA_1	8688000	500000	2	0	105700.001	5074.999784	191.46	30.25	1421.57	48.61	29.55	906.48	0	0	144.69	647.25
E28_M6_L_1_PLZ	28	PLZ	L	6	L_6	1	E28_PLZ_OVA_1	5760000	500000	2	0	34100.0029	1990.000253	57.26	31.06	1244.3	4.19	2.25	225.55	0	0	457.36	321.99
E28_M7_L_1_PLcG	28	PLcG	L	7	L_7	1	E28_PLcG_OVA_1	3360000	500000	2	0	20599.9979	1114.999657	191.96	33.71	889.2	10.42	42.12	889.23	0	0	152.77	682.79
E28_M8_L_1_LHZ	28	LHZ	L	8	L_8	1	E28_LHZ_OVA_1	3984000	500000	2	0	15200.0034	1669.999887	155.47	38.59	1256.62	20.73	33.83	1060.64	0	0	205.56	556.33
E28_M9_L_1_LZS	28	LZS	L	9	L_9	1	E28_LZS_OVA_1	4224000	500000	2	0	59000.0012	-34.99996632	105.71	39.42	964.02	27.51	11.06	546.16	119.25	0	311.84	478.8
E28_M10_L_1_PLH	28	PLH	L	10	L_10	1	E28_PLH_OVA_1	6144000	500000	2	0	19714.2818	1767.500185	63.49	40.33	1233.41	4.59	18.47	677.11	80.18	0	115.36	483.57
E28_M11_L_1_HScG	28	HScG	L	11	L_11	1	E28_HScG_OVA_1	5424000	500000	2	0	101285.718	1842.499964	135.38	23.55	979.82	4.85	20.69	557.8	0	0	55.75	465.67
E28_M12_L_1_LHcG	28	LHcG	L	12	L_12	1	E28_LHcG_OVA_1	4944000	500000	2	0	29571.4319	357.4999723	52.73	32.16	1347.34	4.73	12.13	452.31	0	0	80.3	393.69
E28_M13_L_1_LZcG	28	LZcG	L	13	L_13	1	E28_LZcG_OVA_1	5664000	500000	2	0	104428.565	1359.999992	56.01	25.51	1160.18	0	7.78	461.12	0	0	128.1	331.84
E28_M1_R_1_Ova	28	Ova	R	1	R_1	1	E28_Ova_OVA_1	5040000	500000	2	0	3600.00429	119.9999291	11.99	32.22	440.58	0	3.32	55.42	0	0	151.91	260.32
E28_M2_R_1_LScG	28	LScG	R	2	R_2	1	E28_LScG_OVA_1	12048000	500000	2	0	90099.9987	6384.999745	47.82	40.74	1244.45	25.25	4.29	511.07	56.25	25.14	579.05	433.74
E28_M3_R_1_ZScG	28	ZScG	R	3	R_3	1	E28_ZScG_OVA_1	4080000	500000	2	0	102399.996	6215.000008	78.22	56.91	1310.59	12.74	3.17	484.79	98.15	37.83	863.26	513.35
E28_M4_R_1_HZcG	28	HZcG	R	4	R_4	1	E28_HZcG_OVA_1	5088000	500000	2	0	101799.994	6400.000219	50.69	61.91	1451.57	3.15	3.69	470.03	92.39	37.42	674.28	440.62
E28_M5_R_1_PScG	28	PScG	R	5	R_5	1	E28_PScG_OVA_1	8448000	500000	2	0	81200.0018	5225.000088	46.1	31.67	914.95	2.29	3.65	560.83	8.39	6.16	270.16	268.98
E28_M6_R_1_PLZ	28	PLZ	R	6	R_6	1	E28_PLZ_OVA_1	7632000	500000	2	0	7499.99968	1530.000125	16.81	27.2	1267.84	2.29	1.57	133.17	8.39	0	252.6	178.4
E28_M7_R_1_PLcG	28	PLcG	R	7	R_7	1	E28_PLcG_OVA_1	5664000	500000	2	0	67100.0027	2224.999731	40.01	58.22	1767.82	12.9	3.6	440	110.05	0	440.1	439.99
E28_M8_R_1_LHZ	28	LHZ	R	8	R_8	1	E28_LHZ_OVA_1	5808000	500000	2	0	3200.00139	3160.00015	157.89	132.77	839.82	24.52	18.45	3131.26	125.08	0	466.38	1128.96
E28_M9_R_1_LZS	28	LZS	R	9	R_9	1	E28_LZS_OVA_1	6144000	500000	2	0	37285.7098	912.5000539	58.78	40.1	946.74	0	9.38	660.79	80.8	8.68	207.54	347.8
E28_M10_R_1_PLH	28	PLH	R	10	R_10	1	E28_PLH_OVA_1	5472000	500000	2	0	34999.9994	697.4999535	99.86	58.9	1394.1	13.87	12.41	513.75	54.82	0	615.23	499.63
E28_M11_R_1_HScG	28	HScG	R	11	R_11	1	E28_HScG_OVA_1	8400000	500000	2	0	105285.707	1845.000007	130.11	40.52	1482.4	6.49	29.84	1092.46	0	0	95.68	671.55
E28_M12_R_1_LHcG	28	LHcG	R	12	R_12	1	E28_LHcG_OVA_1	7296000	500000	2	0	44857.1388	92.49995679	15.3	24.97	1558.09	0	0	160.23	0	0	322.46	190.4
E28_M13_R_1_LZcG	28	LZcG	R	13	R_13	1	E28_LZcG_OVA_1	8016000	500000	2	0	101428.567	1717.500083	65.96	26.09	1332.12	0	14	608.98	0	0	129.44	433.4
E28_M14_L_1_LScG	28	LScG	L	14	L_14	1	E28_LScG_OVA_1	9264000	500000	2	0	101900.001	6169.999694	97.39	86.67	1329.15	26.23	17.29	993.06	162.06	13.14	746.74	782.28
E28_M15_L_1_ZScG	28	ZScG	L	15	L_15	1	E28_ZScG_OVA_1	7488000	500000	2	0	77000.0064	7724.99982	122.98	72.75	646.15	14.68	15.77	809.81	139.54	40.41	593.7	715.52
E28_M16_L_1_HZcG	28	HZcG	L	16	L_16	1	E28_HZcG_OVA_1	6528000	500000	2	0	61900.0008	6534.999837	111.99	100.13	855.74	48.42	21.89	1885.82	176.91	19.32	2021.01	777.45
E28_M17_L_1_PScG	28	PScG	L	17	L_17	1	E28_PScG_OVA_1	6576000	500000	2	0	69699.9988	7345.000212	26.25	66.44	1573.97	4.13	4.15	703.68	115.81	2.2	374.26	447.93
E28_M18_L_1_PLZ	28	PLZ	L	18	L_18	1	E28_PLZ_OVA_1	7344000	500000	2	0	16400.0028	2100.000088	103.07	63.28	689.16	11.87	37.85	1478.38	147.29	0	144.06	748.48
E28_M19_L_1_PLcG	28	PLcG	L	19	L_19	1	E28_PLcG_OVA_1	4704000	500000	2	0	26900.0003	2815.000122	31.74	25.18	1522.28	3.99	1.47	114.66	0	7.77	258.98	156.28
E28_M20_L_1_LHZ	28	LHZ	L	20	L_20	1	E28_LHZ_OVA_1	5664000	500000	2	0	0	1205.000003	22.42	40.15	1577.29	0	3.25	316.45	0	0	213.58	297.61
E28_M21_L_1_LZS	28	LZS	L	21	L_21	1	E28_LZS_OVA_1	5184000	500000	2	0	65285.7155	2302.499928	23.63	33.42	1761.79	5.41	0	116.13	0	0	568.85	228.01
E28_M22_L_1_PLH	28	PLH	L	22	L_22	1	E28_PLH_OVA_1	4080000	500000	2	0	27999.998	1397.500068	3.98	17.35	1318.06	0	0	6.77	0	5.22	155.86	102.52
E28_M23_L_1_HScG	28	HScG	L	23	L_23	1	E28_HScG_OVA_1	6480000	500000	2	0	58142.8545	1487.499915	34.65	21.34	1262.1	0	3.71	243.99	0	0	94.09	202.93
E28_M24_L_1_LHcG	28	LHcG	L	24	L_24	1	E28_LHcG_OVA_1	6528000	500000	2	0	14142.8547	1689.99998	58.29	51.66	968.42	5.88	4.15	420.67	133.99	1.63	340.56	367.12
E28_M25_L_1_LZcG	28	LZcG	L	25	L_25	1	E28_LZcG_OVA_1	3792000	500000	2	0	41285.7137	1540.000059	0	11.01	1083.12	0	0	0	0	0	251.82	47.4
E28_M14_R_1_LScG	28	LScG	R	14	R_14	1	E28_LScG_OVA_1	8928000	500000	2	0	115999.996	9160.000389	420.31	29.05	861.87	3.27	78.84	1574.72	0	0	121.12	790.39
E28_M15_R_1_ZScG	28	ZScG	R	15	R_15	1	E28_ZScG_OVA_1	8160000	500000	2	0	75100.0041	5205.000003	98.39	77.51	868.68	76.77	10.02	1377.58	162.31	64.13	859.9	754.27
E28_M16_R_1_HZcG	28	HZcG	R	16	R_16	1	E28_HZcG_OVA_1	4848000	500000	2	0	118699.997	5850.000237	37.88	51.08	1780.07	9.78	4.77	407.34	0	19.78	499.78	344.62
E28_M17_R_1_PScG	28	PScG	R	17	R_17	1	E28_PScG_OVA_1	8352000	500000	2	0	67999.9998	6720.000063	106.81	66.16	1390.11	26.92	8.47	820.94	143.5	18.65	508.58	639.32
E28_M18_R_1_PLZ	28	PLZ	R	18	R_18	1	E28_PLZ_OVA_1	14880000	500000	2	0	27900.0067	2255.000268	15.29	31.53	1311.6	6.55	5.67	375.37	0	0	194.48	250.68
E28_M19_R_1_PLcG	28	PLcG	R	19	R_19	1	E28_PLcG_OVA_1	5568000	500000	2	0	33600.0019	2755	42	46.14	1055.59	16.26	2.19	253	42.29	10.23	974.99	311.7
E28_M20_R_1_LHZ	28	LHZ	R	20	R_20	1	E28_LHZ_OVA_1	3888000	500000	2	0	33600.0019	1364.99994	28.35	26.61	1260.99	0	10.93	218.54	0	0	172.9	283.31
E28_M21_R_1_LZS	28	LZS	R	21	R_21	1	E28_LZS_OVA_1	7392000	500000	2	0	75857.142	1280	0	0	0	0	0	0	0	0	0	0
E28_M22_R_1_PLH	28	PLH	R	22	R_22	1	E28_PLH_OVA_1	5760000	500000	2	0	26428.5747	2262.499983	0	22.97	1437.4	0	0	0	0	0	365.87	77.64
E28_M23_R_1_HScG	28	HScG	R	23	R_23	1	E28_HScG_OVA_1	7008000	500000	2	0	90571.4365	2175.000008	0	17.06	1069.53	0	0	37.51	0	0	158.98	94.26
E28_M24_R_1_LHcG	28	LHcG	R	24	R_24	1	E28_LHcG_OVA_1	6240000	500000	2	0	27714.2895	1157.499991	532.2	63.51	531.37	9.93	143.79	3484.27	106.58	0	121.64	1339.77
E28_M25_R_1_LZcG	28	LZcG	R	25	R_25	1	E28_LZcG_OVA_1	6240000	500000	2	0	82142.8563	197.5000162	31.46	30.42	1306.56	2.42	0	306.67	0	0	280.55	265.2
