Treatment	Type	IFNg	CXCL1	TNFa	CCL2	IL12	CCL5	IL1b	CXCL10	GMCSF	IL10	IFNb	IFNa	IL6
P_1	single	15.92	15404.8	11939	53.82	105.89	3835.8	86.41	6760.4	66.53	314.68	287	74.16	23223.6
L_1	single	10.00	4766.2	11177	293.48	213.32	8225.2	106.95	94241.4	72.57	400.22	715.4	106.52	25003.4
H_1	single	11.15	252.6	386.6	116.60	20.69	1020.8	4.05	29062.4	102.13	51.44	238.8	15.16	281.8
Z_1	single	1.96	4317.4	23437.4	95.04	22.01	1064.8	22.095	7826.6	40.45	114.07	279.8	8.71	962.2
S_1	single	4.94	174.8	1673.6	258.55	26.04	1916.2	5.92	53190.6	40.45	53.04	4594.8	4193.85	1160
cG_1	single	5.75	212.8	5487.2	537.43	35.44	4269.4	30.74	62269	40.45	66.45	3814.2	828.26	1330.8
PL_1	pair	51.68	7429	21534.6	401.12	1883.22	7500.6	290.625	57723.4	155.76	1391.99	420	289.98	41833.6
PH_1	pair	28.93	9979.2	15877.6	148.90	306.64	5919	161.83	32262.6	171.65	557.70	329.8	223.82	25050.6
PZ_1	pair	9.75	13867.8	33224	234.37	47.71	3086.6	235.705	4761.6	173.41	1643.04	310	115.39	17751.4
PS_1	pair	16.26	7993.4	33915.8	487.09	428.70	6817.8	160.13	76837.6	112.11	496.56	7953.8	4672.00	63324
PcG_1	pair	18.32	8639.2	60909	1215.17	965.93	7782.2	572.755	78804.6	117.43	1146.22	5174.8	481.11	63376
LH_1	pair	20.67	3503	8743.8	187.74	117.98	7163.8	60.035	65496.4	132.15	203.04	345.2	95.62	13443.2
LZ_1	pair	10.26	4962.4	19723.4	464.26	94.08	5000.8	204.455	32307.8	75.51	1133.71	630.4	157.58	11355.8
LS_1	pair	11.26	3243.8	8880	371.51	218.95	5725	135.18	58578.8	74.87	296.06	2122	1482.17	16070.2
LcG_1	pair	17.91	5337.4	22660.4	853.97	1053.56	8222.2	567.525	69382.6	108.10	722.31	2299	305.13	33837
HZ_1	pair	6.72	2368.2	13952.4	150.53	22.84	1436.2	12.23	15915.4	65.27	92.83	238.2	8.71	816.2
HS_1	pair	35.38	137.4	1278.4	332.67	17.95	1998.6	3.9	44864.8	130.94	36.46	1380.4	4225.47	542
HcG_1	pair	75.66	35.4	4832.6	456.62	19.74	3482.6	9.98	46716.8	224.31	58.43	1497.6	553.39	715.6
ZS_1	pair	4.71	3091.2	20664	232.41	30.92	2150.8	39.72	35205.4	42.28	124.20	1303.2	1980.68	2118.8
ZcG_1	pair	6.46	2583.2	47602.6	362.17	37.80	6057.6	151.91	56568	40.45	233.19	16523.4	640.65	6554.4
ScG_1	pair	2.26	314	6793	405.06	17.14	5242	16.675	66938.6	40.45	18.18	10746.8	3364.19	1536.2
PLH_1	triplet	61.55	6747.8	23527.2	360.69	905.77	10089	178.79	77615.8	211.36	805.19	450.2	200.03	40806
PLZ_1	triplet	17.80	8087.2	41020	582.77	372.30	7616	243.485	49190.4	99.29	1997.58	1229.6	215.83	31295
PLS_1	triplet	22.03	6814.6	27741.6	413.17	1190.20	8177	219.61	78464	96.94	769.64	2508.2	1551.48	50857.2
PLcG_1	triplet	27.25	11686.2	61480	1148.37	2796.67	9102	1383.91	86527.6	133.73	2079.67	3323.8	385.65	79288.8
PHZ_1	triplet	16.87	9027	26078.8	403.32	65.72	4384.6	205.195	22623.8	149.23	1511.14	206.8	155.36	18086.8
PHS_1	triplet	78.34	7364.2	35703.6	557.27	604.11	9653.4	239.655	84858.8	229.51	669.46	4611.6	3861.62	54860.8
PHcG_1	triplet	91.15	6366.2	38804.6	1239.38	1127.99	6821.8	855.66	65219.2	257.45	1373.84	2078.6	496.47	41852.8
PZS_1	triplet	9.26	4996.4	16739.2	642.01	63.31	2457.4	159.935	24717.4	101.51	1315.17	697.4	1909.94	15074.8
PZcG_1	triplet	13.27	4073	24506.2	1114.13	204.20	3472.2	789.205	22225	110.54	2039.39	2035.8	345.54	16365.2
PScG_1	triplet	19.18	7607	54841.2	1131.84	1122.56	7321.4	779.705	68537	119.17	1201.29	6306	2151.93	57879.2
LHZ_1	triplet	39.63	7333.6	41519.2	681.16	77.40	10596.2	156.55	79527	159.70	1266.36	1950	164.12	21510.8
LHS_1	triplet	60.43	4885.6	13628.8	361.01	263.50	9937.2	174.68	93801.8	185.10	310.38	1802.4	1546.91	22298.6
LHcG_1	triplet	87.42	6394.8	30872	880.05	969.18	10639.2	678.625	95100.8	236.88	842.14	2740.6	388.33	36455.4
LZS_1	triplet	5.18	5395.2	25971.2	569.18	62.17	6514.4	134.515	43842.2	57.84	1097.93	2210	675.73	13447
LZcG_1	triplet	35.20	6165.6	42788	740.66	184.39	6766.2	1669.115	43803	87.16	2262.65	17203.2	2352.54	23558.4
LScG_1	triplet	26.43	6319	27055.2	954.25	1188.21	8855.4	967.85	87875	116.40	737.07	5432.2	1486.46	41059.6
HZS_1	triplet	11.60	2298.2	17625	224.86	31.73	2771	16.02	33943.4	92.27	124.70	645.6	2025.04	1407.8
HZcG_1	triplet	16.48	1789.6	30213.8	426.16	19.27	5677.8	170.69	53962.2	100.17	270.22	11320.2	1124.11	4661
HScG_1	triplet	46.59	202.8	5749.8	424.30	22.05	4679.4	16.8	59002.8	158.98	72.52	3736	2191.98	958.2
ZScG_1	triplet	4.76	1049	17917.4	341.87	30.56	3238.2	206.885	30484.2	40.45	243.07	7056.8	1700.30	2774
Ctrl_1	Ctrl	1.96	40.4	40	21.70	7.22	24.2	3.9	367.4	40.45	8.51	118.6	8.71	47.6
Ctrl_2	Ctrl	2.29	339.6	341.6	28.34	8.17	624.8	4.485	2194.6	40.45	8.51	214.6	8.71	239.2
Ctrl_3	Ctrl	1.96	356	64	22.22	9.68	526.4	7.31	1357.8	40.45	8.51	151.4	8.71	333
P_2	single	7.68	9109	8446.6	47.39	61.94	2095.2	47.845	3464	68.21	252.36	219.8	81.49	13520.8
L_2	single	10.82	2962.2	6893.8	268.27	148.14	5344.6	86.21	66206	72.80	329.12	273	100.99	14111.8
H_2	single	14.44	101	176.8	109.12	22.42	702.6	9.98	28877.4	101.94	27.74	110	25.84	47.6
Z_2	single	6.15	2858.6	14834	78.07	28.14	474.4	25.705	4541.2	48.56	152.69	176	16.04	392.4
S_2	single	4.19	114.2	1482.8	224.43	17.25	1245	7.135	43366.4	43.91	22.37	2803.8	4925.28	820.2
cG_2	single	9.48	62	3983	374.03	29.68	3116.6	17.37	51059	46.19	120.97	1682.8	348.71	488.8
PL_2	pair	25.28	5433.6	18878	384.53	1279.81	6216.6	213.53	56272.2	128.21	1088.00	299.4	217.17	34732.2
PH_2	pair	19.77	6679.4	11349.4	137.86	202.44	3988.4	125.725	23795.2	142.09	496.49	239.6	197.88	17942.6
PZ_2	pair	6.06	7312	17300.2	166.40	22.24	1181.8	161.925	675.6	104.68	1664.36	182.2	71.11	7736
PS_2	pair	27.90	4317	16820.8	375.46	259.31	3501.4	119.38	48568.8	112.20	443.93	2474	3483.28	30093.4
PcG_2	pair	21.86	7265.4	59593	1086.26	858.55	6901.4	561.07	68345.8	119.00	1377.71	4513.2	619.45	64074.4
LH_2	pair	67.74	3710.6	8911.4	338.75	173.75	7730.8	144.09	75600.4	197.62	364.66	315.4	146.84	15264.2
LZ_2	pair	8.09	3388.4	14706.8	438.21	44.63	3919.8	112.81	31480.8	52.17	1003.87	517.2	98.00	7799.8
LS_2	pair	5.67	2488.6	7600	274.59	113.25	4814.8	60.42	62344.2	49.37	199.96	1141.6	876.77	13660.4
LcG_2	pair	25.43	4430.6	22158.6	727.64	961.20	6752.6	531.065	64851.2	97.58	782.30	1932.8	434.80	30894.4
HZ_2	pair	11.38	2119.4	13753.2	108.55	23.66	1647.8	19.23	19413.4	88.17	96.40	172.2	38.32	647
HS_2	pair	34.34	88.4	894	282.63	19.99	1696.4	13.03	39594.4	134.20	72.52	902.4	3571.78	281.8
HcG_2	pair	45.10	35.4	4041.2	386.35	21.02	2936.2	11.13	47980.2	168.48	100.29	862	308.85	182
ZS_2	pair	3.88	2235.8	16278.8	181.06	16.72	1292.2	17.98	27084	40.45	136.59	638.8	1308.37	1769.8
ZcG_2	pair	3.47	1351	23391	411.36	33.43	3636	152.08	32140	42.20	297.86	8356.2	837.68	3151.6
ScG_2	pair	3.66	84	3537.8	332.12	13.81	2557.2	13.03	41889.8	40.45	17.88	1950.6	1327.00	623.2
PLH_2	triplet	64.14	5382.2	18401.2	337.19	821.24	7835.4	145.75	65003.2	224.72	713.74	338.6	188.65	30769.2
PLZ_2	triplet	15.87	6017.4	30676.6	608.20	226.49	6358.6	230.315	42652	105.15	2497.27	1180.6	199.43	23352.2
PLS_2	triplet	15.94	5201.2	21161.8	360.07	761.29	6859.2	155.925	72390.6	91.71	765.49	1074	1061.96	39407.8
PLcG_2	triplet	15.94	6108.2	35577.2	962.14	1801.57	6135.8	974.55	52876.4	92.73	1861.74	1529.6	275.62	42252.4
PHZ_2	triplet	10.95	5669.4	19448	348.79	34.78	3093.4	122.085	18912.8	114.36	1472.74	162.6	108.04	11372
PHS_2	triplet	55.14	5969.8	21866.4	373.55	361.70	5775	189.585	57639.6	198.44	493.36	1463.8	2447.57	34251
PHcG_2	triplet	68.80	6159.2	46636	1127.61	859.29	7348.2	579.195	74983.8	226.84	1203.42	4363.6	682.17	45803.2
PZS_2	triplet	10.67	6850	20704.2	363.24	41.38	2203.6	122.545	23793.6	83.17	1235.66	420	684.74	14598.2
PZcG_2	triplet	19.14	6053.6	44464.2	824.41	101.91	4800.8	710.775	36904	112.42	2501.64	4136.8	392.94	24552.4
PScG_2	triplet	24.22	4693.8	34665.4	784.55	92.75	3594.4	633.51	28031.2	81.47	1778.89	2517.6	514.46	19560.8
LHZ_2	triplet	52.55	2735.8	7436	353.39	144.19	6809	125.59	66222	165.63	386.06	326.2	131.44	11879
LHS_2	triplet	69.93	3467.2	9696.6	355.70	184.73	7055.6	128.545	72722.6	192.60	248.58	898.2	995.71	14227
LHcG_2	triplet	70.62	4873.4	23238.6	819.13	805.44	8444.6	647.57	72594.4	205.21	665.81	1115.2	255.46	30405.8
LZS_2	triplet	8.28	3959.6	18777.8	550.04	50.46	4840.6	123.53	31895.6	56.48	1267.68	1097.4	524.78	9274
LZcG_2	triplet	10.98	4652.6	27932	803.67	104.73	4631	851.35	28034.8	69.98	1596.88	3527	195.63	14734.2
LScG_2	triplet	14.12	3398.8	13336	745.44	789.16	4894	771.92	49998.8	87.64	732.20	1125.4	873.68	19409.6
HZS_2	triplet	7.71	1460.4	10385.8	139.42	22.95	1334.8	12.44	16870.6	63.68	77.01	221.6	517.13	297
HZcG_2	triplet	15.03	1100.4	19460.6	338.15	27.16	3841.2	94.22	35072.6	87.27	175.03	4156.2	320.82	2380.6
HScG_2	triplet	32.11	104.4	4910.2	294.53	10.87	3873.6	15.61	51961	137.50	65.39	2486	1364.93	427.6
ZScG_2	triplet	8.60	1058.8	18088.8	290.06	16.41	2689.2	111.965	23773.2	40.45	156.52	5510.2	782.06	2113
Ctrl_4	Ctrl	3.82	77	40	17.78	6.02	285.4	3.9	725.8	40.45	55.76	164	8.71	47.6
Ctrl_5	Ctrl	1.96	35.4	719.2	23.75	4.18	1671.4	3.9	425.8	40.45	13.73	95.4	8.71	1421.6
Ctrl_6	Ctrl	1.96	652.8	40	16.74	4.42	285.4	9.295	647.8	40.45	8.51	80.2	8.71	82.26
P_3	single	4.76	8730.8	6760.6	27.59	54.86	2150	40.455	3369.8	40.91	226.39	159.8	44.45	12193.4
L_3	single	7.00	2143	4914.4	282.71	120.87	4329.2	76.415	45687.2	43.66	300.80	298.8	86.50	9462.8
H_3	single	7.00	134.2	44.4	85.80	11.23	574	8.26	15323	49.16	8.84	133	8.33	44.6
Z_3	single	1.96	2713	12592	41.49	9.59	570	18.63	4565.4	16.63	62.63	167	8.33	72.2
S_3	single	2.19	102.6	1234	211.33	13.36	1586.6	8.26	46322.2	23.42	8.84	2637.6	4918.69	1000.4
