Sample_ID	Experiment	Treatment	Technical_rep	LN	Mouse_ID	LN_Mouse_ID	OVA_conc	Group	LN_cell_count_10e6	Total_cells	Incubation_days	Injection_outliers	IFNg	IFNg_outliers	IL17A	IL17A_outliers
E14_M1_L_0_Ova	14	Ova	NA	L	1	L_1	0	E14_Ova_OVA_0	5220000	500000	2	0	5149.26	0	0	0
E14_M2_L_0_H	14	H	NA	L	2	L_2	0	E14_H_OVA_0	5880000	500000	2	0	31193.01	0	0	0
E14_M3_L_0_Z	14	Z	NA	L	3	L_3	0	E14_Z_OVA_0	2130000	500000	2	0	3861.21	0	0	0
E14_M4_L_0_cG	14	cG	NA	L	4	L_4	0	E14_cG_OVA_0	4950000	500000	2	0	25101.06	0	87.018	0
E14_M5_L_0_HZ	14	HZ	NA	L	5	L_5	0	E14_HZ_OVA_0	3630000	500000	2	0	1945.68	0	55.878	0
E14_M6_L_0_HcG	14	HcG	NA	L	6	L_6	0	E14_HcG_OVA_0	4350000	500000	2	0	18772.5	0	633.402	0
E14_M7_L_0_ZcG	14	ZcG	NA	L	7	L_7	0	E14_ZcG_OVA_0	6360000	500000	2	0	21581.91	0	723.588	0
E14_M8_L_0_HZcG	14	HZcG	NA	L	8	L_8	0	E14_HZcG_OVA_0	7890000	500000	2	0	24604.98	0	851.22	0
E14_M1_L_1_Ova	14	Ova	NA	L	1	L_1	1	E14_Ova_OVA_1	5220000	500000	2	0	6374.91	0	0	0
E14_M2_L_1_H	14	H	NA	L	2	L_2	1	E14_H_OVA_1	5880000	500000	2	0	39473.34	0	106.836	0
E14_M3_L_1_Z	14	Z	NA	L	3	L_3	1	E14_Z_OVA_1	2130000	500000	2	0	4961.91	0	0	0
E14_M4_L_1_cG	14	cG	NA	L	4	L_4	1	E14_cG_OVA_1	4950000	500000	2	0	31133.88	0	180.444	0
E14_M5_L_1_HZ	14	HZ	NA	L	5	L_5	1	E14_HZ_OVA_1	3630000	500000	2	0	1797.81	0	55.878	0
E14_M6_L_1_HcG	14	HcG	NA	L	6	L_6	1	E14_HcG_OVA_1	4350000	500000	2	0	20487.72	0	313.5	0
E14_M7_L_1_ZcG	14	ZcG	NA	L	7	L_7	1	E14_ZcG_OVA_1	6360000	500000	2	0	36368.22	0	1217.448	0
