Sample	Exp_ID	Ligand_no	Treatment	Ligand_concentration	Treament_type	Technical_rep	Exp_treat_rep_ID	Treatment_ID	DC_cell_number	OTII_cell_number	OVA_conc	Incubation	Genotype	Sex	Gmcsf_ug_mL	All_cells_percent	Live_cells_percent	Proliferation_percent	All_cells_number	Live_cells_number	Proliferation_number
E1_PAM_1000_F_rep1	1	7	PAM	1000	single	1	E1_PAM_1000_1	PAM_1000_1	10000	50000	200	3	TCRaKO	F	20	79	87.4	76.7	84372	73711	56514
E1_PAM_1000_F_rep2	1	7	PAM	1000	single	2	E1_PAM_1000_2	PAM_1000_2	10000	50000	200	3	TCRaKO	F	20	76.8	83.4	71.4	77195	64348	45944
E1_PAM_500_F_rep1	1	7	PAM	500	single	1	E1_PAM_500_1	PAM_500_1	10000	50000	200	3	TCRaKO	F	20	79	89.5	77.3	83425	74624	57678
E1_PAM_500_F_rep2	1	7	PAM	500	single	2	E1_PAM_500_2	PAM_500_2	10000	50000	200	3	TCRaKO	F	20	80.4	86.2	69	69372	59784	41279
E1_PAM_250_F_rep1	1	7	PAM	250	single	1	E1_PAM_250_1	PAM_250_1	10000	50000	200	3	TCRaKO	F	20	78.6	88.8	69	69545	61724	42589
E1_PAM_250_F_rep2	1	7	PAM	250	single	2	E1_PAM_250_2	PAM_250_2	10000	50000	200	3	TCRaKO	F	20	82.4	88.6	69.4	69998	62034	43062
E1_PAM_100_F_rep1	1	7	PAM	100	single	1	E1_PAM_100_1	PAM_100_1	10000	50000	200	3	TCRaKO	F	20	80.8	91.3	66.5	69778	63722	42354
E1_PAM_100_F_rep2	1	7	PAM	100	single	2	E1_PAM_100_2	PAM_100_2	10000	50000	200	3	TCRaKO	F	20	81.4	88.5	58.8	52864	46767	27490
E1_PAM_50_F_rep1	1	7	PAM	50	single	1	E1_PAM_50_1	PAM_50_1	10000	50000	200	3	TCRaKO	F	20	82.3	91.3	64.4	67030	61168	39381
E1_PAM_50_F_rep2	1	7	PAM	50	single	2	E1_PAM_50_2	PAM_50_2	10000	50000	200	3	TCRaKO	F	20	82.4	89.4	54.7	57134	51061	27943
E1_PAM_10_F_rep1	1	7	PAM	10	single	1	E1_PAM_10_1	PAM_10_1	10000	50000	200	3	TCRaKO	F	20	83.3	90.9	56.7	57200	51978	29450
E1_PAM_10_F_rep2	1	7	PAM	10	single	2	E1_PAM_10_2	PAM_10_2	10000	50000	200	3	TCRaKO	F	20	80.8	87.2	38.2	40758	35557	13596
E1_PAM_1_F_rep1	1	7	PAM	1	single	1	E1_PAM_1_1	PAM_1_1	10000	50000	200	3	TCRaKO	F	20	79	86	39.4	30350	26102	10279
E1_PAM_1_F_rep2	1	7	PAM	1	single	2	E1_PAM_1_2	PAM_1_2	10000	50000	200	3	TCRaKO	F	20	74	78.1	21	22733	17753	3730
E1_PAM_0_1_F_rep1	1	7	PAM	0_1	single	1	E1_PAM_0_1_1	PAM_0_1_1	10000	50000	200	3	TCRaKO	F	20	63.4	68.8	16.6	11949	8220	1361
E1_PAM_0_1_F_rep2	1	7	PAM	0_1	single	2	E1_PAM_0_1_2	PAM_0_1_2	10000	50000	200	3	TCRaKO	F	20	64.7	56.7	3.6	12286	6964	251
E1_LPS_1000_F_rep1	1	7	LPS	1000	single	1	E1_LPS_1000_1	LPS_1000_1	10000	50000	200	3	TCRaKO	F	20	76.3	89.6	66	66352	59458	39258
E1_LPS_1000_F_rep2	1	7	LPS	1000	single	2	E1_LPS_1000_2	LPS_1000_2	10000	50000	200	3	TCRaKO	F	20	75.8	89.2	66.4	64387	57442	38135
E1_LPS_500_F_rep1	1	7	LPS	500	single	1	E1_LPS_500_1	LPS_500_1	10000	50000	200	3	TCRaKO	F	20	77.9	89.8	63.4	63288	56835	36058
E1_LPS_500_F_rep2	1	7	LPS	500	single	2	E1_LPS_500_2	LPS_500_2	10000	50000	200	3	TCRaKO	F	20	77.7	91.5	70.6	70054	64089	45224
E1_LPS_200_F_rep1	1	7	LPS	200	single	1	E1_LPS_200_1	LPS_200_1	10000	50000	200	3	TCRaKO	F	20	81.2	91.2	67.2	67134	61194	41141
E1_LPS_200_F_rep2	1	7	LPS	200	single	2	E1_LPS_200_2	LPS_200_2	10000	50000	200	3	TCRaKO	F	20	78.9	91.1	64.6	59259	53980	34882
E1_LPS_100_F_rep1	1	7	LPS	100	single	1	E1_LPS_100_1	LPS_100_1	10000	50000	200	3	TCRaKO	F	20	83.8	92.7	73.1	83519	77431	56638
E1_LPS_100_F_rep2	1	7	LPS	100	single	2	E1_LPS_100_2	LPS_100_2	10000	50000	200	3	TCRaKO	F	20	80.4	92.2	65.4	61547	56727	37108
E1_LPS_50_F_rep1	1	7	LPS	50	single	1	E1_LPS_50_1	LPS_50_1	10000	50000	200	3	TCRaKO	F	20	82.4	92.5	73.5	84614	78270	57502
E1_LPS_50_F_rep2	1	7	LPS	50	single	2	E1_LPS_50_2	LPS_50_2	10000	50000	200	3	TCRaKO	F	20	81.8	91.9	65.8	70393	64683	42534
E1_LPS_10_F_rep1	1	7	LPS	10	single	1	E1_LPS_10_1	LPS_10_1	10000	50000	200	3	TCRaKO	F	20	77.3	87.9	36.7	35135	30894	11325
E1_LPS_10_F_rep2	1	7	LPS	10	single	2	E1_LPS_10_2	LPS_10_2	10000	50000	200	3	TCRaKO	F	20	69.4	79.4	21.5	21730	17263	3712
E1_LPS_1_F_rep1	1	7	LPS	1	single	1	E1_LPS_1_1	LPS_1_1	10000	50000	200	3	TCRaKO	F	20	81.2	90.3	46.9	46090	41606	19517
E1_LPS_1_F_rep2	1	7	LPS	1	single	2	E1_LPS_1_2	LPS_1_2	10000	50000	200	3	TCRaKO	F	20	57.1	54.5	3.47	13480	7341	255
E1_LPS_0_1_F_rep1	1	7	LPS	0_1	single	1	E1_LPS_0_1_1	LPS_0_1_1	10000	50000	200	3	TCRaKO	F	20	58.5	56.4	2.23	11681	6591	147
E1_LPS_0_1_F_rep2	1	7	LPS	0_1	single	2	E1_LPS_0_1_2	LPS_0_1_2	10000	50000	200	3	TCRaKO	F	20	57.6	45.3	5	15327	6941	347
E1_HMW_100_F_rep1	1	7	HMW	100	single	1	E1_HMW_100_1	HMW_100_1	10000	50000	200	3	TCRaKO	F	20	68.2	85.8	46.4	33946	29122	13512
E1_HMW_100_F_rep2	1	7	HMW	100	single	2	E1_HMW_100_2	HMW_100_2	10000	50000	200	3	TCRaKO	F	20	59.2	66.3	4.55	15145	10048	457
E1_HMW_50_F_rep1	1	7	HMW	50	single	1	E1_HMW_50_1	HMW_50_1	10000	50000	200	3	TCRaKO	F	20	65.3	71.2	23.9	22401	15958	3813
E1_HMW_50_F_rep2	1	7	HMW	50	single	2	E1_HMW_50_2	HMW_50_2	10000	50000	200	3	TCRaKO	F	20	62.5	71.9	10.6	15756	11331	1203
E1_HMW_20_F_rep1	1	7	HMW	20	single	1	E1_HMW_20_1	HMW_20_1	10000	50000	200	3	TCRaKO	F	20	52.9	52.6	1.83	13977	7357	135
E1_HMW_20_F_rep2	1	7	HMW	20	single	2	E1_HMW_20_2	HMW_20_2	10000	50000	200	3	TCRaKO	F	20	56.3	60.4	4.64	11735	7091	329
E1_HMW_10_F_rep1	1	7	HMW	10	single	1	E1_HMW_10_1	HMW_10_1	10000	50000	200	3	TCRaKO	F	20	55.2	54.3	3.57	13457	7304	261
E1_HMW_10_F_rep2	1	7	HMW	10	single	2	E1_HMW_10_2	HMW_10_2	10000	50000	200	3	TCRaKO	F	20	54.3	58	2.43	12931	7504	182
E1_HMW_1_F_rep1	1	7	HMW	1	single	1	E1_HMW_1_1	HMW_1_1	10000	50000	200	3	TCRaKO	F	20	54.1	51.5	1.52	13168	6775	103
E1_HMW_1_F_rep2	1	7	HMW	1	single	2	E1_HMW_1_2	HMW_1_2	10000	50000	200	3	TCRaKO	F	20	52.3	50.3	2.91	13532	6805	198
E1_HMW_0_1_F_rep1	1	7	HMW	0_1	single	1	E1_HMW_0_1_1	HMW_0_1_1	10000	50000	200	3	TCRaKO	F	20	61.2	55.7	3.98	14568	8119	323
E1_HMW_0_1_F_rep2	1	7	HMW	0_1	single	2	E1_HMW_0_1_2	HMW_0_1_2	10000	50000	200	3	TCRaKO	F	20	55.1	53	4.78	12149	6438	308
E1_Zymosan_100_F_rep1	1	7	Zymosan	100	single	1	E1_Zymosan_100_1	Zymosan_100_1	10000	50000	200	3	TCRaKO	F	20	42.7	77.9	63.7	58819	45826	29174
E1_Zymosan_100_F_rep2	1	7	Zymosan	100	single	2	E1_Zymosan_100_2	Zymosan_100_2	10000	50000	200	3	TCRaKO	F	20	42	76.1	60.7	61308	46640	28327
E1_Zymosan_60_F_rep1	1	7	Zymosan	60	single	1	E1_Zymosan_60_1	Zymosan_60_1	10000	50000	200	3	TCRaKO	F	20	48.3	79.2	64.2	52916	41923	26895
E1_Zymosan_60_F_rep2	1	7	Zymosan	60	single	2	E1_Zymosan_60_2	Zymosan_60_2	10000	50000	200	3	TCRaKO	F	20	51	82.6	60.3	52761	43596	26272
E1_Zymosan_30_F_rep1	1	7	Zymosan	30	single	1	E1_Zymosan_30_1	Zymosan_30_1	10000	50000	200	3	TCRaKO	F	20	58.5	85.9	57.5	47182	40533	23318
E1_Zymosan_30_F_rep2	1	7	Zymosan	30	single	2	E1_Zymosan_30_2	Zymosan_30_2	10000	50000	200	3	TCRaKO	F	20	58.7	84	52.1	41561	34911	18198
E1_Zymosan_20_F_rep1	1	7	Zymosan	20	single	1	E1_Zymosan_20_1	Zymosan_20_1	10000	50000	200	3	TCRaKO	F	20	52.9	82.7	45.3	32227	26636	12066
