Sample	Screen_ID	Technical_rep	Screen_rep_ID	Mixed	Treatment	Treatment_ID	Treatment_type	DC_cell_number	OTII_cell_number	OVA_conc	Incubation	Genotype	Nb_of_ligands	Ligand_conc	Layout_ID	Plate_ID	Well_ID_culture	Well_ID_fcs	ELISA	IFNg	IL17	IL4	All_cells	Live_cells	Viability	Peak_0	Peak_1	Peak_2	Peak_3	Peak_4	Peak_5	Peak_6	Peak_7
E36_P_full_rep1	36	1	s36_full_rep1	0	P	P_1	S	10000	50000	0_005	3	Smarta	6	full	1	1	B10	A1	0	NA	NA	NA	65041	61580	94.6787411	19960	1814	4013	9668	14459	9375	2450	219
E36_L_full_rep1	36	1	s36_full_rep1	0	L	L_1	S	10000	50000	0_005	3	Smarta	6	full	1	1	C10	A2	0	NA	NA	NA	73776	69336	93.98178269	20056	2041	4423	10646	17307	11673	2559	329
E36_H_full_rep1	36	1	s36_full_rep1	0	H	H_1	S	10000	50000	0_005	3	Smarta	6	full	1	1	D10	A3	0	NA	NA	NA	25725	23744	92.29931973	12712	547	1457	2243	3102	2498	875	119
E36_Z_full_rep1	36	1	s36_full_rep1	0	Z	Z_1	S	10000	50000	0_005	3	Smarta	6	full	1	1	E10	A4	0	NA	NA	NA	34409	28498	82.82135488	16205	851	2522	3588	3882	1289	178	72
E36_S_full_rep1	36	1	s36_full_rep1	0	S	S_1	S	10000	50000	0_005	3	Smarta	6	full	1	1	F10	A5	0	NA	NA	NA	24641	22359	90.73901222	16531	657	1352	1909	1515	228	73	0
E36_cG_full_rep1	36	1	s36_full_rep1	0	cG	cG_1	S	10000	50000	0_005	3	Smarta	6	full	1	1	G10	A6	0	NA	NA	NA	23304	21524	92.3618263	15907	500	1032	1405	1691	760	168	0
E36_PL_full_rep1	36	1	s36_full_rep1	0	PL	PL_1	P	10000	50000	0_005	3	Smarta	6	full	1	1	B9	B1	0	NA	NA	NA	30541	27378	89.64343014	10863	4263	6775	3963	1248	235	57	117
E36_PH_full_rep1	36	1	s36_full_rep1	0	PH	PH_1	P	10000	50000	0_005	3	Smarta	6	full	1	1	C9	B2	0	NA	NA	NA	61495	58616	95.31831856	19440	2437	5179	9923	13850	6734	1058	61
E36_PZ_full_rep1	36	1	s36_full_rep1	0	PZ	PZ_1	P	10000	50000	0_005	3	Smarta	6	full	1	1	D9	B3	0	NA	NA	NA	40934	31844	77.79352128	17384	2465	4184	5164	2288	464	57	0
E36_PS_full_rep1	36	1	s36_full_rep1	0	PS	PS_1	P	10000	50000	0_005	3	Smarta	6	full	1	1	E9	B4	0	NA	NA	NA	25292	23457	92.74474142	9214	4229	4448	3352	1520	283	28	53
E36_PcG_full_rep1	36	1	s36_full_rep1	0	PcG	PcG_1	P	10000	50000	0_005	3	Smarta	6	full	1	1	F9	B5	0	NA	NA	NA	45989	43528	94.64872035	10653	4517	8376	11891	7039	1233	124	0
E36_LH_full_rep1	36	1	s36_full_rep1	0	LH	LH_1	P	10000	50000	0_005	3	Smarta	6	full	1	1	G9	B6	0	NA	NA	NA	77173	74477	96.50655022	21371	2391	4551	11719	17338	12572	2758	187
E36_LZ_full_rep1	36	1	s36_full_rep1	0	LZ	LZ_1	P	10000	50000	0_005	3	Smarta	6	full	1	1	B8	C1	0	NA	NA	NA	45257	37243	82.29224208	16512	2642	5503	7740	3945	726	93	15
E36_LS_full_rep1	36	1	s36_full_rep1	0	LS	LS_1	P	10000	50000	0_005	3	Smarta	6	full	1	1	C8	C2	0	NA	NA	NA	73012	69958	95.81712595	11785	3996	9545	18480	18646	6276	681	139
E36_LcG_full_rep1	36	1	s36_full_rep1	0	LcG	LcG_1	P	10000	50000	0_005	3	Smarta	6	full	1	1	D8	C3	0	NA	NA	NA	84959	81992	96.50772726	13688	3072	7484	20140	25399	10164	1357	89
E36_HZ_full_rep1	36	1	s36_full_rep1	0	HZ	HZ_1	P	10000	50000	0_005	3	Smarta	6	full	1	1	E8	C4	0	NA	NA	NA	30072	26630	88.55413674	18666	593	1688	2556	2295	698	77	63
E36_HS_full_rep1	36	1	s36_full_rep1	0	HS	HS_1	P	10000	50000	0_005	3	Smarta	6	full	1	1	F8	C5	0	NA	NA	NA	23653	21818	92.2419989	15783	1032	1467	2086	1039	339	39	0
E36_HcG_full_rep1	36	1	s36_full_rep1	0	HcG	HcG_1	P	10000	50000	0_005	3	Smarta	6	full	1	1	G8	C6	0	NA	NA	NA	23489	21524	91.63438205	15490	546	1300	1918	1571	560	63	58
E36_ZS_full_rep1	36	1	s36_full_rep1	0	ZS	ZS_1	P	10000	50000	0_005	3	Smarta	6	full	1	1	B7	D1	0	NA	NA	NA	27151	19844	73.08754742	13675	1296	1878	1910	711	154	0	0
E36_ZcG_full_rep1	36	1	s36_full_rep1	0	ZcG	ZcG_1	P	10000	50000	0_005	3	Smarta	6	full	1	1	C7	D2	0	NA	NA	NA	29302	23252	79.35294519	14970	1168	2950	2971	878	131	0	0
E36_ScG_full_rep1	36	1	s36_full_rep1	0	ScG	ScG_1	P	10000	50000	0_005	3	Smarta	6	full	1	1	D7	D3	0	NA	NA	NA	28854	26542	91.98724614	14851	1421	2625	4441	2537	584	59	5
E36_PLH_full_rep1	36	1	s36_full_rep1	0	PLH	PLH_1	T	10000	50000	0_005	3	Smarta	6	full	1	1	E7	D4	0	NA	NA	NA	39579	36919	93.27926426	12929	4163	7418	9522	2617	581	66	18
E36_PLZ_full_rep1	36	1	s36_full_rep1	0	PLZ	PLZ_1	T	10000	50000	0_005	3	Smarta	6	full	1	1	F7	D5	0	NA	NA	NA	36563	28885	79.00062905	13447	3790	5440	4517	1728	217	58	0
E36_PLS_full_rep1	36	1	s36_full_rep1	0	PLS	PLS_1	T	10000	50000	0_005	3	Smarta	6	full	1	1	G7	D6	0	NA	NA	NA	13840	11914	86.08381503	9173	1097	612	564	360	74	0	0
E36_PLcG_full_rep1	36	1	s36_full_rep1	0	PLcG	PLcG_1	T	10000	50000	0_005	3	Smarta	6	full	1	1	B6	E1	0	NA	NA	NA	24188	20384	84.27319332	10637	2475	3585	2311	743	189	96	183
E36_PHZ_full_rep1	36	1	s36_full_rep1	0	PHZ	PHZ_1	T	10000	50000	0_005	3	Smarta	6	full	1	1	C6	E2	0	NA	NA	NA	39693	29075	73.24969138	16285	2712	3650	4105	1734	429	66	3
E36_PHS_full_rep1	36	1	s36_full_rep1	0	PHS	PHS_1	T	10000	50000	0_005	3	Smarta	6	full	1	1	D6	E3	0	NA	NA	NA	16740	14833	88.60812425	8230	3110	1832	1028	544	94	36	0
E36_PHcG_full_rep1	36	1	s36_full_rep1	0	PHcG	PHcG_1	T	10000	50000	0_005	3	Smarta	6	full	1	1	E6	E4	0	NA	NA	NA	27140	24500	90.27266028	8319	4820	6023	3748	1254	231	23	0
E36_PZS_full_rep1	36	1	s36_full_rep1	0	PZS	PZS_1	T	10000	50000	0_005	3	Smarta	6	full	1	1	F6	E5	0	NA	NA	NA	23520	10343	43.97534014	6847	1852	1062	393	169	20	0	5
E36_PZcG_full_rep1	36	1	s36_full_rep1	0	PZcG	PZcG_1	T	10000	50000	0_005	3	Smarta	6	full	1	1	G6	E6	0	NA	NA	NA	33143	21305	64.28205051	9160	2945	4600	3456	1042	91	40	0
E36_PScG_full_rep1	36	1	s36_full_rep1	0	PScG	PScG_1	T	10000	50000	0_005	3	Smarta	6	full	1	1	B5	F1	0	NA	NA	NA	27189	24201	89.0102615	7571	4780	5469	4416	1425	156	130	3
E36_LHZ_full_rep1	36	1	s36_full_rep1	0	LHZ	LHZ_1	T	10000	50000	0_005	3	Smarta	6	full	1	1	C5	F2	0	NA	NA	NA	41164	27622	67.10232242	15241	2134	3656	4099	1780	358	95	2
E36_LHS_full_rep1	36	1	s36_full_rep1	0	LHS	LHS_1	T	10000	50000	0_005	3	Smarta	6	full	1	1	D5	F3	0	NA	NA	NA	36450	26304	72.16460905	8615	3312	5958	6117	1910	402	38	19
E36_LHcG_full_rep1	36	1	s36_full_rep1	0	LHcG	LHcG_1	T	10000	50000	0_005	3	Smarta	6	full	1	1	E5	F4	0	NA	NA	NA	86289	82591	95.7144016	14718	2731	6679	21345	25777	10593	1734	151
E36_LZS_full_rep1	36	1	s36_full_rep1	0	LZS	LZS_1	T	10000	50000	0_005	3	Smarta	6	full	1	1	F5	F5	0	NA	NA	NA	40238	21144	52.54734331	7934	2286	4399	4338	1695	248	25	0
E36_LZcG_full_rep1	36	1	s36_full_rep1	0	LZcG	LZcG_1	T	10000	50000	0_005	3	Smarta	6	full	1	1	G5	F6	0	NA	NA	NA	44197	36601	82.81331312	15448	2374	5575	8000	3909	816	60	0
E36_LScG_full_rep1	36	1	s36_full_rep1	0	LScG	LScG_1	T	10000	50000	0_005	3	Smarta	6	full	1	1	B4	G1	0	NA	NA	NA	70185	65941	93.95312389	8794	5417	10833	20465	16089	4147	309	133
E36_HZS_full_rep1	36	1	s36_full_rep1	0	HZS	HZS_1	T	10000	50000	0_005	3	Smarta	6	full	1	1	C4	G2	0	NA	NA	NA	25064	22181	88.49744654	16648	732	1632	1642	1101	270	0	0
E36_HZcG_full_rep1	36	1	s36_full_rep1	0	HZcG	HZcG_1	T	10000	50000	0_005	3	Smarta	6	full	1	1	D4	G3	0	NA	NA	NA	25577	22504	87.98529929	14959	566	1297	1855	2361	1099	299	0
E36_HScG_full_rep1	36	1	s36_full_rep1	0	HScG	HScG_1	T	10000	50000	0_005	3	Smarta	6	full	1	1	E4	G4	0	NA	NA	NA	33314	30242	90.77865162	16372	1131	3480	4566	3317	1137	247	0
