Sample	Screen_ID	Technical_rep	Screen_rep_ID	Treatment	Treatment_ID	Treatment_type	Nb_of_ligands	Ligand_conc	Layout_ID	Plate_ID	Well_ID_culture	Well_ID_fcs	Live_cells	Viability	Peak_0	Peak_1	Peak_2	Peak_3	Peak_4	Peak_5	Peak_6	cell_total	cell_start	cell_activated	divisions	PI	PI_norm	PI_1	PI_2	PI_3	PI_12	PI_13	PI_23	PI_123	PI_isserlis
E8_P_full_rep1	8	1	s8_full_rep1	P	P_1	Single	6	full	4	1	B10	A1	28454	93.41738074	18751	1465	1663	1948	2216	1358	687	28088	20334.42188	1583.421875	3125.09375	1.973633053	0.807911006	NA	NA	NA	NA	NA	NA	NA	NA
E8_L_full_rep1	8	1	s8_full_rep1	L	L_1	Single	6	full	4	1	C10	A2	33944	94.4804743	18105	1164	1810	3127	5276	2936	1033	33451	19968.01563	1863.015625	4534.21875	2.433806077	0.996283839	NA	NA	NA	NA	NA	NA	NA	NA
E8_H_full_rep1	8	1	s8_full_rep1	H	H_1	Single	6	full	4	1	D10	A3	10793	82.35787867	10469	91	93	63	49	14	2	10781	10549.15625	80.15625	130.25	1.624951267	0.665177354	NA	NA	NA	NA	NA	NA	NA	NA
E8_Z_full_rep1	8	1	s8_full_rep1	Z	Z_1	Single	6	full	4	1	E10	A4	15664	75.01556439	12082	520	588	951	955	356	155	15607	12681.10938	599.109375	1219.53125	2.035573638	0.833266519	NA	NA	NA	NA	NA	NA	NA	NA
E8_S_full_rep1	8	1	s8_full_rep1	S	S_1	Single	6	full	4	1	F10	A5	13018	82.78537361	11001	243	498	577	470	109	0	12898	11351.90625	350.90625	721.40625	2.055837563	0.841561602	NA	NA	NA	NA	NA	NA	NA	NA
E8_cG_full_rep1	8	1	s8_full_rep1	cG	cG_1	Single	6	full	4	1	G10	A6	13167	89.40721124	11712	363	451	298	150	0	0	12974	12052.875	340.875	556.25	1.63182985	0.667993117	NA	NA	NA	NA	NA	NA	NA	NA
E8_PL_full_rep1	8	1	s8_full_rep1	PL	PL_1	Pair	6	full	4	1	B9	B1	20979	92.92611623	10786	1575	2742	3267	1754	552	121	20797	12796.14063	2010.140625	3919.71875	1.949972406	0.798225468	NA	NA	NA	NA	NA	NA	NA	NA
E8_PH_full_rep1	8	1	s8_full_rep1	PH	PH_1	Pair	6	full	4	1	C9	B2	13595	85.77828254	9036	795	1228	1181	785	112	0	13137	9940.6875	904.6875	1668.125	1.843868739	0.7547917	NA	NA	NA	NA	NA	NA	NA	NA
E8_PZ_full_rep1	8	1	s8_full_rep1	PZ	PZ_1	Pair	6	full	4	1	D9	B3	22495	72.933891	13051	1644	2787	3609	1291	282	39	22703	15110.98438	2059.984375	3939.34375	1.912317296	0.782811266	NA	NA	NA	NA	NA	NA	NA	NA
E8_PS_full_rep1	8	1	s8_full_rep1	PS	PS_1	Pair	6	full	4	1	E9	B4	13035	78.89958235	6512	1240	1769	1837	1307	363	54	13082	7897.75	1385.75	2581.90625	1.863183294	0.762698155	NA	NA	NA	NA	NA	NA	NA	NA
E8_PcG_full_rep1	8	1	s8_full_rep1	PcG	PcG_1	Pair	6	full	4	1	F9	B5	17943	85.51208121	8685	1498	2378	2843	2079	415	93	17991	10528.23438	1843.234375	3597.4375	1.951698356	0.798931989	NA	NA	NA	NA	NA	NA	NA	NA
E8_LH_full_rep1	8	1	s8_full_rep1	LH	LH_1	Pair	6	full	4	1	G9	B6	25618	93.77699685	13195	804	1941	3284	3781	2000	344	25349	14796.9375	1601.9375	3894	2.430806445	0.995055933	NA	NA	NA	NA	NA	NA	NA	NA
E8_LZ_full_rep1	8	1	s8_full_rep1	LZ	LZ_1	Pair	6	full	4	1	B8	C1	38914	89.48627144	15113	1715	3122	7414	7685	3410	832	39291	18277.625	3164.625	7730.8125	2.442884228	1	NA	NA	NA	NA	NA	NA	NA	NA
E8_LS_full_rep1	8	1	s8_full_rep1	LS	LS_1	Pair	6	full	4	1	C8	C2	29443	92.15913359	8374	1917	4058	6419	5659	1930	246	28603	11567.21875	3193.21875	7134	2.234109392	0.914537564	NA	NA	NA	NA	NA	NA	NA	NA
E8_LcG_full_rep1	8	1	s8_full_rep1	LcG	LcG_1	Pair	6	full	4	1	D8	C3	25577	92.27577747	9059	3536	4444	4705	2974	1248	134	26100	12753.09375	3694.09375	6705.4375	1.815177945	0.74304706	NA	NA	NA	NA	NA	NA	NA	NA
E8_HZ_full_rep1	8	1	s8_full_rep1	HZ	HZ_1	Pair	6	full	4	1	E8	C4	19911	88.19542877	13912	492	1101	1854	1684	480	119	19642	14787.10938	875.109375	1998.90625	2.284178763	0.935033571	NA	NA	NA	NA	NA	NA	NA	NA
E8_HS_full_rep1	8	1	s8_full_rep1	HS	HS_1	Pair	6	full	4	1	F8	C5	14032	89.57548675	10483	339	740	1155	969	238	118	14042	11051.71875	568.71875	1263.125	2.221001154	0.909171678	NA	NA	NA	NA	NA	NA	NA	NA
