Sample_ID,Experiment,Treatment,Technical_rep,LN,Mouse_ID,LN_Mouse_ID,OVA_conc,PEP_conc,Group,Well_image,LN_cell_count_10e6,Total_cells,Incubation_days,Injection_outliers,IFNg,IFNg_outliers,IL17A,IL17A_outliers,IFNg_LP,IL5_LP,TNFa_LP,IL2_LP,IL6 LP,IL4_LP,IL10_LP,IL9_LP,IL17A_LP,IL17F_LP,IL21_LP,IL22_LP,IL13_LP,CD4_cells,CD8_cells,CD4_depleted,CD8_depleted,OTII_peptide_conc,OTI_peptide_conc,IFNg_CD4_cells,IFNg_CD8_cells,IFNg_CD4_depleted,IFNg_CD8_depleted,IL17A_CD4_cells,IL17A_CD8_cells,IL17A_CD4_depleted,IL17A_CD8_depleted,Notes
E1_M1_pool_0_WT_500000,1,WT,NA,pool,1,pool_1,0,NA,E1_WT_OVA_0,0,8960000,500000,3,0,362.442,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E1_M2_pool_0_Ova_500000,1,Ova,NA,pool,2,pool_2,0,NA,E1_Ova_OVA_0,0,8240000,500000,3,0,111.768,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E1_M3_pool_0_HZ_500000,1,HZ,NA,pool,3,pool_3,0,NA,E1_HZ_OVA_0,0,6800000,500000,3,0,2587.224,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E1_M4_pool_0_ZcG_500000,1,ZcG,NA,pool,4,pool_4,0,NA,E1_ZcG_OVA_0,0,8960000,500000,3,0,887.304,0,559.674,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E1_M1_pool_1_WT_500000,1,WT,NA,pool,1,pool_1,1,NA,E1_WT_OVA_1,0,8960000,500000,3,0,379.134,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E1_M2_pool_1_Ova_500000,1,Ova,NA,pool,2,pool_2,1,NA,E1_Ova_OVA_1,0,8240000,500000,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E1_M3_pool_1_HZ_500000,1,HZ,NA,pool,3,pool_3,1,NA,E1_HZ_OVA_1,0,6800000,500000,3,0,3088.584,0,34.364,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E1_M4_pool_1_ZcG_500000,1,ZcG,NA,pool,4,pool_4,1,NA,E1_ZcG_OVA_1,0,8960000,500000,3,0,10436.616,0,768.796,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E1_M1_pool_10_WT_500000,1,WT,NA,pool,1,pool_1,10,NA,E1_WT_OVA_10,0,8960000,500000,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E1_M2_pool_10_Ova_500000,1,Ova,NA,pool,2,pool_2,10,NA,E1_Ova_OVA_10,0,8240000,500000,3,0,879.468,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E1_M3_pool_10_HZ_500000,1,HZ,NA,pool,3,pool_3,10,NA,E1_HZ_OVA_10,0,6800000,500000,3,0,4294.974,0,19.306,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E1_M4_pool_10_ZcG_500000,1,ZcG,NA,pool,4,pool_4,10,NA,E1_ZcG_OVA_10,0,8960000,500000,3,0,5822.55,0,1026.432,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E1_M1_pool_25_WT_500000,1,WT,NA,pool,1,pool_1,25,NA,E1_WT_OVA_25,0,8960000,500000,3,0,244.938,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
